IOC_2020_Orders,IOC_2020_Species,IOC_2020_Binomial,Categories_feeding,Dive score,,Max_dive_depth,Avg_max_depth,Max_duration (s),Avg_max_dur,Method,Reference_depth,Reference_duration,,,,,Notes,,,
Anseriformes,South Georgia Pintail,Anas_georgica_georgica,Dipping,0,,,,11,8.1,obs,Weller 1975 Ibis 117,,,,,,0 Non-divers (<1 m),,,
Anseriformes,Common Eider,Somateria_mollissima,Pursuit diving,2,,30.1,17.6,86.1,65.1,TDR,Kilen 2016 MSc thesis Norway,Kilen 2016 MSc thesis Norway,,,,,1 Shallow divers (1-10 m),,,
Charadriiformes,Razorbill,Alca_torda,Pursuit diving,3,,56,30.7,93,70.4,TDR,Shoji et al. 2015 MEPS 520: 257-267,Shoji et al. 2015 MEPS 520: 257-267,,,,,2 Intermediate divers (11-30 m),,,
Charadriiformes,Brown Skua,Stercorarius_antarcticus,Surface seizing - plunge diving?,0,,,,,,,,,,,,,4 Very deep divers (>100 m),,,
Charadriiformes,South Polar Skua,Stercorarius_maccormicki,Surface seizing - plunge diving?,0,,,,,,,,,,,,,Given this crude approach we can assign all species - I have added my estimates for all species,,,
Charadriiformes,Black Guillemot,Cepphus_grylle,Pursuit diving,3,,43,32,131,95,TDR,Masden et al. 2013 Bird Study 60: 547-549,Masden et al. 2013 Bird Study 60: 547-549,,,,,,,,
Charadriiformes,Atlantic Puffin,Fratercula_arctica,Pursuit diving,3,,47.6,36,123.1,101.1,TDR,Shoji et al. 2015 MEPS 520: 257-267,Shoji et al. 2015 MEPS 520: 257-267,,,,,,,,
Charadriiformes,Kelp Gull,Larus_dominicanus,Dipping - Surface plunging? ,0,,0.4,,,,obs,Blankley 1981 Cormorant 9: 77-84,,,,,,,,,
Charadriiformes,Lesser Black-backed Gull,Larus_fuscus,Dipping - Surface plunging? ,0,,0.5,,2,,obs,Goethe 1975 Ornis Fennica 52: 5-12,,,,,,"I would be very surprised if great shearwaters couldn’t dive quite a bit deeper, because the other Ardenna spp. are proficient divers and usually diving ability scales positively with body mass. Also, the low values for depth and duration in Ronconi et al. might well relate to the very small sample size (just two birds). For those reasons could perhaps justify an upgrade to a dive score of 3.",,,
Charadriiformes,Hartlaub's Gull,Chroicocephalus_hartlaubii,Dipping,0,,,,,,,,,,,,,,,," (1) 2m seems really quite deep for a kittiwake, as other gulls are poor divers. Hence maybe that old observational study isn’t representative and could consider dropping their dive score to 0. (2) Same applies to Greater Crested Tern, as do they really dive routinely deeper than a surface-plunging sandwich tern? (3) I would be very surprised if great shearwaters couldn’t dive quite a bit deeper, because the other Ardenna spp. are proficient divers and usually diving ability scales positively with body mass. Also, the low values for depth and duration in Ronconi et al. might well relate to the very small sample size (just two birds). For those reasons could perhaps justify an upgrade to a dive score of 3. Also, (4) I would go ahead and delete that highlighted 188s dive for a black-footed albatross as it has to be a recording error."
Charadriiformes,Great Black-backed Gull,Larus_marinus,Dipping,0,,,,,,,,,,,,,,,,
Charadriiformes,Black-legged Kittiwake,Rissa_tridactyla,Surface plunging,0,,2,,,,obs,Burtt 1974 Auk 91: 827-829,,,,,,0 bexause old study has error,1,,
